school,school_name_long,state_school_id,lea_name,lea_id,level,grades,ward,charter_status,phone,address
Achievement,Achievement Preparatory Academy PCS - Wahler Place Elementary School,217,Achievement Preparatory Academy PCS,155,Elementary,PK3 - 3,8,Charter,(202) 562-1307,"908 WAHLER PLACE SE, WASHINGTON, DC 20032"
Aiton,Aiton Elementary School,202,District of Columbia Public Schools,001,Elementary,PK3 - 5,7,DCPS,(202) 671-6060,"533 48th Pl. NE, WASHINGTON, DC 20019"
Amidon-Bowen,Amidon-Bowen Elementary School,203,District of Columbia Public Schools,001,Elementary,PK3 - 5,6,DCPS,(202) 724-4867,"401 I St. SW, WASHINGTON, DC 20024"
Anacostia,Anacostia High School,450,District of Columbia Public Schools,001,High,9 - 12,8,DCPS,(202) 698-2155,"1601 16th St. SE, WASHINGTON, DC 20020"
Angelou High,Maya Angelou PCS - High School,101,Maya Angelou PCS,133,High,9 - 12,AD,Charter,(202) 379-4335,"5600 EAST CAPITOL STREET NE, WASHINGTON, DC 20019"
Angelou NB,Maya Angelou Academy at New Beginnings formerly Oak Hill,860,DYRS,4002,7-12,7 - 12,N/A,DCPS,,"8400 River Rd, WASHINGTON, DC 20724"
Angelou Young Adult,Maya Angelou PCS - Young Adult Learning Center,137,Maya Angelou PCS,133,Other,,AD,Charter,(202) 289-8898,"5600 EAST CAPITOL STREET NE, WASHINGTON, DC 20019"
AppleTree CH,AppleTree Early Learning Center PCS - Columbia Heights,140,AppleTree Early Learning PCS,103,Elementary,PK3 - PK4,1,Charter,(202) 667-9490,"2750 14TH STREET NW, WASHINGTON, DC 20009"
AppleTree DK,AppleTree Early Learning Center PCS - Douglas Knoll,3072,AppleTree Early Learning PCS,103,Elementary,PK3 - PK4,8,Charter,(202) 629-2545,"2017 SAVANNAH TERRACE SE, WASHINGTON, DC 20020"
AppleTree LP,AppleTree Early Learning Center PCS - Lincoln Park,3073,AppleTree Early Learning PCS,103,Elementary,PK3 - PK4,6,Charter,(202) 621-6581,"138 12TH STREET NE, WASHINGTON, DC 20002"
AppleTree OK,AppleTree Early Learning Center PCS - Oklahoma Avenue,1137,AppleTree Early Learning PCS,103,Elementary,PK3 - PK4,7,Charter,(202) 629-2179,"330 21ST STREET NE, WASHINGTON, DC 20002"
AppleTree PL,AppleTree Early Learning Center PCS - Parklands at THEARC,1069,AppleTree Early Learning PCS,103,Elementary,PK3 - PK4,8,Charter,(202) 506-1890,"1801 MISSISSIPPI AVENUE SE, WASHINGTON, DC 20032"
AppleTree SW,AppleTree Early Learning Center PCS - Southwest,141,AppleTree Early Learning PCS,103,Elementary,PK3 - PK4,6,Charter,(202) 646-0500,"488 VIRGINIA AVENUE SW, WASHINGTON, DC 20024"
Ballou STAY,Ballou STAY High School,462,District of Columbia Public Schools,001,High,9 - Adult,8,DCPS,(202) 645-3390,"3401 4th St. SE, WASHINGTON, DC 20032"
Ballou,Ballou High School,452,District of Columbia Public Schools,001,High,9 - 12,8,DCPS,(202) 645-3400,"3401 4th St. SE, WASHINGTON, DC 20032"
Bancroft,Bancroft Elementary School,204,District of Columbia Public Schools,001,Elementary,PK3 - 5,1,DCPS,(202) 673-7280,"1755 Newton St. NW, WASHINGTON, DC 20010"
Banneker,Benjamin Banneker High School,402,District of Columbia Public Schools,001,High,9 - 12,1,DCPS,(202) 671-6320,"925 Rhode Island Ave. NW, WASHINGTON, DC 20001"
Bard,Bard High School Early College DC (Bard DC),1058,District of Columbia Public Schools,001,High,9 - 12,7,DCPS,(202) 898-4664,"4430 H St. SE, WASHINGTON, DC 20019"
Barnard,Barnard Elementary School,205,District of Columbia Public Schools,001,Elementary,PK3 - 5,4,DCPS,(202) 576-1100,"430 Decatur St. NW, WASHINGTON, DC 20011"
BASIS,BASIS DC PCS,3068,BASIS DC PCS,168,5-12,5 - 12,2,Charter,(202) 804-6390,"410 8TH STREET NW, WASHINGTON, DC 20004"
Beers,Beers Elementary School,206,District of Columbia Public Schools,001,Elementary,PK3 - 5,7,DCPS,(202) 939-4800,"3600 Alabama Ave. SE, WASHINGTON, DC 20020"
Bethune,Mary McLeod Bethune Day Academy PCS,135,Mary McLeod Bethune Day Academy PCS,132,K-8,PK3 - 8,4,Charter,(202) 459-4710,"1404 JACKSON STREET NE, WASHINGTON, DC 20017"
Boone,Lawrence E. Boone Elementary School,291,District of Columbia Public Schools,001,Elementary,PK3 - 5,8,DCPS,(202) 671-6240,"2200 Minnesota Ave. SE, WASHINGTON, DC 20020"
Breakthrough,Breakthrough Montessori PCS,289,Breakthrough Montessori PCS,189,Elementary,PK3 - 4,4,Charter,(202) 864-1979,"6923 WILLOW STREET NW, WASHINGTON, DC 20012"
Brent,Brent Elementary School,212,District of Columbia Public Schools,001,Elementary,PK3 - 5,6,DCPS,(202) 698-3363,"301 North Carolina Ave. SE, WASHINGTON, DC 20003"
Bridges,Bridges PCS,142,Bridges PCS,107,Elementary,PK3 - 5,5,Charter,(202) 545-0515,"100 GALLATIN STREET NE, WASHINGTON, DC 20011"
Bright Beginnings,Bright Beginnings Inc.,1023,District of Columbia Public Schools,001,Other,,8,DCPS,(202) 842-9090,"128 M Street NW, WASHINGTON, DC 20001"
Brightwood,Brightwood Elementary School,213,District of Columbia Public Schools,001,Elementary,PK3 - 5,4,DCPS,(202) 722-5670,"1300 Nicholson St. NW, WASHINGTON, DC 20011"
Briya,Briya PCS,126,Briya PCS,119,Elementary,PK3 - PK4,5,Charter,(202) 797-7337,"100 GALLATIN STREET NE, WASHINGTON, DC 20011"
Brookland,Brookland Middle School,347,District of Columbia Public Schools,001,Middle,6 - 8,5,DCPS,(202) 759-1999,"1150 Michigan Ave NE, WASHINGTON, DC 20017"
Brown,Ron Brown College Preparatory High School,436,District of Columbia Public Schools,001,High,9 - 12,7,DCPS,(202) 729-4343,"4800 Meade St. NE, WASHINGTON, DC 20019"
Browne,Browne Education Campus,404,District of Columbia Public Schools,001,K-8,PK3 - 8,5,DCPS,(202) 671-6210,"850 26th St. NE, WASHINGTON, DC 20002"
Bruce-Monroe,Bruce-Monroe Elementary School @ Park View,296,District of Columbia Public Schools,001,Elementary,PK3 - 5,1,DCPS,(202) 576-6222,"3560 Warder St. NW, WASHINGTON, DC 20010"
Bunker Hill,Bunker Hill Elementary School,219,District of Columbia Public Schools,001,Elementary,PK3 - 5,5,DCPS,(202) 576-6095,"1401 Michigan Ave NE, WASHINGTON, DC 20017"
Burroughs,Burroughs Elementary School,220,District of Columbia Public Schools,001,Elementary,PK3 - 5,5,DCPS,(202) 576-6150,"1820 Monroe St. NE, WASHINGTON, DC 20018"
