incident_date,letter_date,school,cases_count,no_case_count,incident_text,school_level,school_name_long,state_school_id,lea_name,lea_id,level,grades,ward,charter_status,phone,address
2021-08-20,2021-08-24,Barnard,1,True,"A letter to the Barnard ES community was sent on August 24, 2021, notifying them of a positive COVID-19 case in the building on August 20, 2021.",Elementary,Barnard Elementary School,205.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,4,DCPS,(202) 576-1100,"430 Decatur St. NW, WASHINGTON, DC 20011"
2021-08-20,2021-08-24,CHEC,1,True,"A letter to the CHEC community was sent on August 24, 2021, notifying them of a positive COVID-19 case in the building on August 20, 2021.",6-12,Columbia Heights Education Campus,442.0,District of Columbia Public Schools,1.0,6-12,6 - 12,1,DCPS,(202) 939-7700,"3101 16th St. NW, WASHINGTON, DC 20010"
2021-08-20,2021-08-24,Excel,1,True,"A letter to the Excel Academy community was sent on August 24, 2021, notifying them of a positive COVID-19 case in the building on August 20, 2021.",PK-8,Excel Academy,318.0,District of Columbia Public Schools,1.0,K-8,PK3 - 8,8,DCPS,(202) 373-0097,"2501 Martin Luther King, Jr. Ave. SE, WASHINGTON, DC 20020"
2021-08-20,2021-08-25,Houston,1,True,"A letter to the Houston ES community was sent on August 25, 2021, notifying them of a positive COVID-19 case in the building on August 20, 2021.",Elementary,Houston Elementary School,251.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,7,DCPS,(202) 671-6170,"1100 50th Pl. NE, WASHINGTON, DC 20019"
2021-08-20,2021-08-24,Langdon,1,True,"A letter to the Langdon ES community was sent on August 24, 2021, notifying them of a positive COVID-19 case in the building on August 20, 2021.",Elementary,Langdon Elementary School,262.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,5,DCPS,(202) 576-6048,"1900 Evarts St. NE, WASHINGTON, DC 20018"
2021-08-20,2021-08-26,Seaton,1,True,"A letter to the Seaton ES community was sent on August 26, 2021, notifying them of a positive COVID-19 case in the building on August 20, 2021.",Elementary,Seaton Elementary School,309.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,6,DCPS,(202) 673-7215,"1503 10th St. NW, WASHINGTON, DC 20001"
2021-08-23,2021-08-25,Coolidge,1,True,"A letter to the Coolidge community was sent on August 25, 2021, notifying them of a positive COVID-19 case in the building on August 23, 2021.",High,Coolidge High School,455.0,District of Columbia Public Schools,1.0,High,9 - 12,4,DCPS,(202) 671-6080,"6315 5th St. NW, WASHINGTON, DC 20011"
2021-08-24,2021-08-31,Browne,1,True,"A letter to the Browne community was sent on August 31, 2021, notifying them of a positive COVID-19 case in the building on August 24, 2021.",PK-8,Browne Education Campus,404.0,District of Columbia Public Schools,1.0,K-8,PK3 - 8,5,DCPS,(202) 671-6210,"850 26th St. NE, WASHINGTON, DC 20002"
2021-08-24,2021-08-29,Miller,1,True,"A letter to the Kelly Miller community was sent on August 29, 2021, notifying them of a positive COVID-19 case in the building on August 24, 2021.",Unknown,Kelly Miller Middle School,421.0,District of Columbia Public Schools,1.0,Middle,6 - 8,7,DCPS,(202) 388-6870,"301 49th St. NE, WASHINGTON, DC 20019"
2021-08-24,2021-08-25,King,1,True,"A letter to the King ES community was sent on August 25, 2021, notifying them of a positive COVID-19 case in the building on August 24, 2021.",Elementary,King Elementary School,344.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,8,DCPS,(202) 939-4900,"3200 6th St. SE, WASHINGTON, DC 20032"
2021-08-25,2021-08-31,Boone,1,True,"A letter to the Boone community was sent on August 31, 2021, notifying them of positive COVID-19 cases in the building on August 25 and 27, 2021 respectively.",Elementary,Lawrence E. Boone Elementary School,291.0,District of Columbia Public Schools,1.0,Elementary,PK3 - 5,8,DCPS,(202) 671-6240,"2200 Minnesota Ave. SE, WASHINGTON, DC 20020"
