incident_date,letter_date,school,cases_count
2021-08-20,2021-08-24,Barnard ES,1
2021-08-20,2021-08-24,CHEC,1
2021-08-20,2021-08-24,Excel,1
2021-08-20,2021-08-25,Houston,1
2021-08-20,2021-08-24,Langdon,1
2021-08-20,2021-08-26,Seaton,1
2021-08-23,2021-08-25,Coolidge,1
2021-08-24,2021-08-29,Kelly Miller,1
2021-08-24,2021-08-25,King,1
2021-08-25,2021-08-31,Boone,1
2021-08-25,2021-08-26,Deal,1
2021-08-25,2021-08-30,Luke C. Moore,1
2021-08-25,2021-08-29,Shepherd,1
2021-08-26,2021-08-30,Peabody Watkins,1
2021-08-26,2021-08-31,Powell,1
2021-08-26,2021-08-27,Smothers,1
2021-08-27,2021-08-31,Bancroft,1
2021-08-27,2021-08-31,Boone,1
2021-08-27,2021-08-29,Burroughs,1
2021-08-27,2021-08-30,Hendley,1
2021-08-27,2021-08-30,Janney,1
2021-08-27,2021-08-31,Jefferson,1
2021-08-27,2021-09-01,Kramer,1
2021-08-27,2021-08-30,Turner,1
2021-08-27,2021-09-01,Woodson,1
2021-08-30,2021-09-08,Brightwood,1
2021-08-30,2021-09-06,Dunbar,1
2021-08-30,2021-09-01,Ellington,1
2021-08-30,2021-09-02,Janney,2
2021-08-30,2021-09-03,McKinley,1
2021-08-30,2021-08-31,Murch,1
2021-08-30,2021-09-03,Nalle,1
2021-08-30,2021-09-02,Randle Highlands,1
2021-08-30,2021-09-05,Wilson,1
2021-08-31,2021-09-02,Ballou STAY,1
2021-08-31,2021-09-03,Brookland,1
2021-08-31,2021-09-07,Brookland,1
2021-08-31,2021-09-01,Cleveland,1
2021-08-31,2021-09-02,Excel,1
2021-08-31,2021-09-01,Janney,2
2021-08-31,2021-09-01,Ketcham,1
2021-08-31,2021-09-02,Lafayette,1
2021-08-31,2021-09-03,MacFarland,1
2021-08-31,2021-09-01,McKinley,1
2021-08-31,2021-09-02,Tubman,1
2021-08-31,2021-09-05,Wilson,1
2021-09-01,2021-09-08,Brightwood,1
2021-09-01,2021-09-05,Deal,1
